역코드,역명,승강기명,운행구간,엘리베이터 빠른 환승,임산부석 엘리베이터 빠른 환승,약냉방 엘리베이터 빠른 환승,임산부석 약냉방 엘리베이터 빠른 환승,운행상태,승강기 구분
327,신사,승강기)엘리베이터 내부#1,B2-B1,상행 3-1,상행 3-2,상행 4-1,상행 4-2,사용가능,EV
327,신사,승강기)엘리베이터 내부#2,B2-B1,하행 8-3,하행 8-3,하행 7-4,하행 7-3,사용가능,EV
328,잠원,승강기)엘리베이터 내부#1,B2-B1,상행 3-3,상행 3-3,상행 4-1,상행 4-2,사용가능,EV
328,잠원,승강기)엘리베이터 내부#2,B2-B1,하행 8-2,하행 8-2,하행 7-4,하행 7-3,사용가능,EV
329,고속터미널(3),승강기)엘리베이터 내부#1,B3-B2,상행 8-2,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
329,고속터미널(3),승강기)엘리베이터 내부#2,B3-B2,하행 3-3,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
331,남부터미널,승강기)엘리베이터 내부#1,B3-B2,상행 3-2,상행 3-2,상행 4-1,상행 4-2,사용가능,EV
331,남부터미널,승강기)엘리베이터 내부#2,B3-B2,하행 8-2,하행 8-2,하행 7-4,하행 7-3,사용가능,EV
332,양재(3),승강기)엘리베이터 내부#1,B2-B1,상행 3-1,상행 3-2,상행 4-1,상행 4-2,사용가능,EV
332,양재(3),승강기)엘리베이터 내부#2,B2-B1,하행 8-4,하행 8-3,하행 7-4,하행 7-3,사용가능,EV
333,매봉,승강기)엘리베이터 내부#1,B2-B1,상행 5-4,상행 5-3,상행 4-4,상행 4-3,사용가능,EV
333,매봉,승강기)엘리베이터 내부#2,B2-B1,하행 6-1,하행 6-2,하행 7-1,하행 7-2,사용가능,EV
336,학여울,승강기)엘리베이터 내부#1,B5~B4,상행 5-4,상행 5-3,상행 4-4,상행 4-3,사용가능,EV
336,학여울,승강기)엘리베이터 내부#2,B5~B4,하행 6-1,하행 6-2,하행 7-1,하행 7-2,사용가능,EV
337,대청,승강기)엘리베이터 내부#1,B3-B2,상행 4-4,상행 4-3,상행 4-3,상행 4-3,사용가능,EV
337,대청,승강기)엘리베이터 내부#2,B3-B2,하행 7-1,하행 7-2,하행 7-2,하행 7-2,사용가능,EV
338,일원,승강기)엘리베이터 내부#1,B3-B2,상행 6-3,상행 6-3,상행 7-1,상행 7-2,사용가능,EV
338,일원,승강기)엘리베이터 내부#2,B3-B2,하행 5-2,하행 5-2,하행 4-4,하행 4-3,사용가능,EV
339,수서(3),승강기)엘리베이터 내부#1,B2-B1,상행 8-3,상행 8-3,상행 7-4,상행 7-3,사용가능,EV
339,수서(3),승강기)엘리베이터 내부#2,B2-B1,하행 3-2,하행 3-2,하행 4-1,하행 4-2,보수중,EV
340,가락시장(3),승강기)엘리베이터 내부#1,B4-B2,상행 8-2,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
340,가락시장(3),승강기)엘리베이터 내부#2,B4-B2,하행 3-2,하행 3-2,하행 4-1,하행 4-2,사용가능,EV
341,경찰병원,승강기)엘리베이터 내부#1,B3-B1,상행 4-2,상행 4-2,상행 4-2,상행 4-2,사용가능,EV
341,경찰병원,승강기)엘리베이터 내부#2,B3-B1,하행 7-3,하행 7-3,하행 7-3,하행 7-3,사용가능,EV
342,오금(3),승강기)엘리베이터 내부#1,B4-B1,상행 5-1,상행 5-2,상행 4-4,상행 4-3,사용가능,EV
342,오금(3),승강기)엘리베이터 내부#2,B4-B1,하행 6-4,하행 6-3,하행 7-1,하행 7-2,사용가능,EV
409,당고개,승강기)엘리베이터 내부#1,F2-F3,상행 6-1,상행 6-2,상행 7-1,상행 7-2,사용가능,EV
409,당고개,승강기)엘리베이터 내부#2,F2-F3,하행 5-4,하행 5-3,하행 4-4,하행 4-3,사용가능,EV
411,노원(4),승강기)엘리베이터 내부#1,F2-F3,상행 8-4,상행 8-3,상행 7-4,상행 7-3,사용가능,EV
411,노원(4),승강기)엘리베이터 내부#2,F2-F3,하행 3-1,하행 3-2,하행 4-1,하행 4-2,사용가능,EV
412,창동(4),승강기)엘리베이터 내부#1,F2-F3,상행 2-4,상행 2-3,상행 4-1,상행 4-2,사용가능,EV
412,창동(4),승강기)엘리베이터 내부#2,F2-F3,상행 8-2,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
412,창동(4),승강기)엘리베이터 내부#4,F2-F3,하행 3-2,하행 3-2,하행 4-1,하행 4-2,사용가능,EV
412,창동(4),승강기)엘리베이터 내부#3,F2-F3,하행 8-4,하행 8-3,하행 7-4,하행 7-3,사용가능,EV
413,쌍문,승강기)엘리베이터 내부#1,B2-B1,상행 8-4,상행 8-3,상행 7-4,상행 7-3,사용가능,EV
413,쌍문,승강기)엘리베이터 내부#2,B2-B1,하행 3-1,하행 3-2,하행 4-1,하행 4-2,사용가능,EV
414,수유,승강기)엘리베이터 내부#1,B2-B1,상행 7-1,상행 7-2,상행 7-2,상행 7-2,사용가능,EV
414,수유,승강기)엘리베이터 내부#2,B2-B1,하행 4-4,하행 4-3,하행 4-3,하행 4-3,사용가능,EV
415,미아,승강기)엘리베이터 내부#1,B2-B1,상행 8-2,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
415,미아,승강기)엘리베이터 내부#2,B2-B1,하행 3-4,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
416,미아사거리,승강기)엘리베이터 내부#1,B2-B1,상행 3-1,상행 3-2,상행 4-1,상행 4-2,사용가능,EV
416,미아사거리,승강기)엘리베이터 내부#2,B2-B1,하행 8-3,하행 8-3,하행 7-4,하행 7-3,사용가능,EV
418,성신여대입구(4),승강기)엘리베이터 내부#1,B2-B1,상행 8-2,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
418,성신여대입구(4),승강기)엘리베이터 내부#2,B2-B1,하행 3-4,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
420,혜화,승강기)엘리베이터 내부#1,B2-B1,상행 7-4,상행 7-3,상행 7-3,상행 7-3,사용가능,EV
420,혜화,승강기)엘리베이터 내부#2,B2-B1,하행 3-4,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
423,충무로(4),승강기)엘리베이터 내부#1,B3-B1,상행 8-1,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
423,충무로(4),승강기)엘리베이터 내부#2,B3-B1,하행 3-3,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
427,숙대입구,승강기)엘리베이터 내부#1,B2-B1,상행 8-1,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
427,숙대입구,승강기)엘리베이터 내부#2,B2-B1,하행 3-3,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
428,삼각지(4),승강기)엘리베이터 내부#1,B2-B1,상행 4-3,상행 4-3,상행 4-3,상행 4-3,사용가능,EV
428,삼각지(4),승강기)엘리베이터 내부#2,B2-B1,하행 7-2,하행 7-2,하행 7-2,하행 7-2,사용가능,EV
429,신용산,승강기)엘리베이터 내부#1,B1-B2,상행 8-2,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
429,신용산,승강기)엘리베이터 내부#2,B1-B2,하행 3-2,하행 3-2,하행 4-1,하행 4-2,사용가능,EV
430,이촌(4),승강기)엘리베이터 내부#1,B2-B1,상행 8-1,상행 8-2,상행 7-4,상행 7-3,사용가능,EV
430,이촌(4),승강기)엘리베이터 내부#2,B2-B1,하행 3-3,하행 3-3,하행 4-1,하행 4-2,사용가능,EV
431,동작(4),승강기)엘리베이터 내부#1,F2-F3,상행 7-4,상행 7-3,상행 7-3,상행 7-3,보수중,EV
431,동작(4),승강기)엘리베이터 내부#2,F1-F2-F3,하행 4-4,하행 4-3,하행 4-3,하행 4-3,보수중,EV
432,총신대입구(4),승강기)엘리베이터 내부#1,B2-B1,상행 7-3,상행 7-3,상행 7-3,상행 7-3,사용가능,EV
432,총신대입구(4),승강기)엘리베이터 내부#2,B2-B1,하행 8-3,하행 8-3,하행 7-4,하행 7-3,사용가능,EV
